bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
lh_IP-SP_0,FA,5005,12903.999,0.384391,0.061309,0.400451,0.059751
lh_IP-SP_0,AD,5005,12903.999,0.001128,7e-05,0.001127,7.6e-05
lh_IP-SP_0,RD,5005,12903.999,0.628806,0.098917,0.59996,0.083414
lh_IP-SP_0,MD,5005,12903.999,0.000805,7.6e-05,0.000787,5.7e-05
lh_IP-SP_0,ISO,5005,12903.999,0.784254,0.031674,0.778619,0.036903
lh_IP-SP_0,RDI,5005,12903.999,0.525338,0.010057,0.524599,0.011518
lh_IP-SP_1,QA,3677,10855.999,0.248486,0.033166,0.246923,0.045165
lh_IP-SP_1,QIR,3677,10855.999,0.331698,0.049105,0.32723,0.069244
lh_IP-SP_1,FA,3677,10855.999,0.390926,0.049169,0.394574,0.063108
lh_IP-SP_1,AD,3677,10855.999,0.001139,8.9e-05,0.001143,0.000103
lh_IP-SP_1,RD,3677,10855.999,0.634349,0.109736,0.617452,0.088874
lh_IP-SP_1,MD,3677,10855.999,0.000815,9.5e-05,0.000802,7.8e-05
lh_IP-SP_1,ISO,3677,10855.999,0.784428,0.02084,0.78574,0.032691
lh_IP-SP_1,RDI,3677,10855.999,0.517438,0.007739,0.518399,0.008595
lh_IP-SP_2,QA,1704,6000.0,0.233054,0.034402,0.22988,0.051108
lh_IP-SP_2,QIR,1704,6000.0,0.308951,0.049273,0.306499,0.072839
lh_IP-SP_2,FA,1704,6000.0,0.369289,0.043458,0.376318,0.054311
lh_IP-SP_2,AD,1704,6000.0,0.001133,6.3e-05,0.00113,6.7e-05
lh_IP-SP_2,RD,1704,6000.0,0.652414,0.086766,0.629275,0.093268
lh_IP-SP_2,MD,1704,6000.0,0.000824,7.1e-05,0.000805,7e-05
lh_IP-SP_2,ISO,1704,6000.0,0.792686,0.016078,0.793049,0.021932
lh_IP-SP_2,RDI,1704,6000.0,0.518418,0.008633,0.519318,0.011301
lh_IT-IT_0,QA,885,5272.0,0.179693,0.047016,0.164327,0.079441
lh_IT-IT_0,QIR,885,5272.0,0.232724,0.088862,0.211215,0.136499
lh_IT-IT_0,FA,885,5272.0,0.260929,0.066146,0.251417,0.073452
lh_IT-IT_0,AD,885,5272.0,0.001043,0.000137,0.00104,0.000142
lh_IT-IT_0,RD,885,5272.0,0.729,0.141499,0.689416,0.141655
lh_IT-IT_0,MD,885,5272.0,0.000835,0.000131,0.000796,0.00012
lh_IT-IT_0,ISO,885,5272.0,0.8513,0.111112,0.850356,0.16004
lh_IT-IT_0,RDI,885,5272.0,0.54019,0.057493,0.545112,0.073053
lh_IT-IT_1,QA,300,3312.0,0.160399,0.03356,0.167944,0.041635
lh_IT-IT_1,QIR,300,3312.0,0.237366,0.056358,0.249354,0.055762
lh_IT-IT_1,FA,300,3312.0,0.29659,0.061965,0.311125,0.07794
lh_IT-IT_1,AD,300,3312.0,0.00097,4.3e-05,0.000981,5.6e-05
lh_IT-IT_1,RD,300,3312.0,0.610478,0.053795,0.609947,0.060603
lh_IT-IT_1,MD,300,3312.0,0.000752,2.6e-05,0.000755,2.2e-05
lh_IT-IT_1,ISO,300,3312.0,0.743307,0.042909,0.734395,0.051104
lh_IT-IT_1,RDI,300,3312.0,0.474011,0.0197,0.473589,0.029954
lh_IT-LO_0,QA,838,4688.0,0.189443,0.036827,0.192702,0.0498
lh_IT-LO_0,QIR,838,4688.0,0.262977,0.062098,0.265185,0.088549
lh_IT-LO_0,FA,838,4688.0,0.343908,0.057791,0.345492,0.079288
lh_IT-LO_0,AD,838,4688.0,0.001028,6.7e-05,0.001023,8.3e-05
lh_IT-LO_0,RD,838,4688.0,0.592699,0.049683,0.593861,0.055541
lh_IT-LO_0,MD,838,4688.0,0.000756,3.6e-05,0.000757,4.1e-05
lh_IT-LO_0,ISO,838,4688.0,0.768182,0.041862,0.761592,0.057187
lh_IT-LO_0,RDI,838,4688.0,0.493654,0.016865,0.490912,0.022289
lh_IT-MT_1,QA,162,1328.0,0.189652,0.032272,0.199997,0.02037
lh_IT-MT_1,QIR,162,1328.0,0.305852,0.053377,0.314981,0.044823
lh_IT-MT_1,FA,162,1328.0,0.325687,0.045351,0.336175,0.038828
lh_IT-MT_1,AD,162,1328.0,0.001028,6.1e-05,0.001036,6.7e-05
lh_IT-MT_1,RD,162,1328.0,0.615003,0.030124,0.614695,0.040415
lh_IT-MT_1,MD,162,1328.0,0.000773,2.9e-05,0.000774,4.2e-05
lh_IT-MT_1,ISO,162,1328.0,0.716957,0.059318,0.745268,0.091951
lh_IT-MT_1,RDI,162,1328.0,0.464201,0.040022,0.484191,0.050162
lh_IT-MT_2,QA,331,2696.0,0.177067,0.033073,0.174981,0.049228
lh_IT-MT_2,QIR,331,2696.0,0.258043,0.057679,0.249884,0.090949
lh_IT-MT_2,FA,331,2696.0,0.322586,0.057103,0.318763,0.082715
lh_IT-MT_2,AD,331,2696.0,0.001004,5.8e-05,0.001007,7.3e-05
lh_IT-MT_2,RD,331,2696.0,0.606337,0.073678,0.590005,0.09816
lh_IT-MT_2,MD,331,2696.0,0.000757,5.7e-05,0.000754,9.1e-05
lh_IT-MT_2,ISO,331,2696.0,0.753905,0.051943,0.761834,0.05091
lh_IT-MT_2,RDI,331,2696.0,0.483298,0.022627,0.48398,0.020773
lh_LO-LO_0,QA,1261,6424.0,0.218025,0.047524,0.223113,0.051731
lh_LO-LO_0,QIR,1261,6424.0,0.293038,0.067891,0.297818,0.0726
lh_LO-LO_0,FA,1261,6424.0,0.332668,0.056,0.335578,0.056996
lh_LO-LO_0,AD,1261,6424.0,0.001016,5.9e-05,0.001019,7e-05
lh_LO-LO_0,RD,1261,6424.0,0.608004,0.070166,0.602108,0.084011
lh_LO-LO_0,MD,1261,6424.0,0.000762,5.5e-05,0.000757,6.7e-05
lh_LO-LO_0,ISO,1261,6424.0,0.77107,0.028992,0.76811,0.036908
lh_LO-LO_0,RDI,1261,6424.0,0.50449,0.018556,0.507472,0.015874
lh_LO-LO_1,QA,1496,5976.0,0.183928,0.035365,0.185351,0.055124
lh_LO-LO_1,QIR,1496,5976.0,0.250233,0.053693,0.250304,0.082827
lh_LO-LO_1,FA,1496,5976.0,0.336524,0.050141,0.341771,0.079807
